old_path,new_path,status
"/vente/terrain-1-hectare-a-vendre-route-de-tahanaout-marrakech-vue-atlas","/acheter/terrain-1-hectare-a-vendre-route-de-tahanaout-marrakech-vue-atlas",308
"/vente/rez-de-jardin-2-chambres-a-vendre-route-dourika","/acheter/rez-de-jardin-2-chambres-a-vendre-route-dourika",308
"/vente/villa-5-suites-a-vendre-a-noria","/acheter/villa-5-suites-a-vendre-a-noria",308
"/vente/appartement-1-chambre-avec-jardin-a-vendre-atlas-golf-resort","/acheter/appartement-1-chambre-avec-jardin-a-vendre-atlas-golf-resort",308
"/vente/appartement-meuble-2-chambres-a-vendre-a-lhivernage","/acheter/appartement-meuble-2-chambres-a-vendre-a-lhivernage",308
"/vente/appartement-2-chambres-a-vendre-au-coeur-de-gueliz-4","/acheter/appartement-2-chambres-a-vendre-au-coeur-de-gueliz-4",308
"/vente/villa-contemporaine-6-suites-a-vendre-au-golf-kenza-marrakech-vue-atlas","/acheter/villa-contemporaine-6-suites-a-vendre-au-golf-kenza-marrakech-vue-atlas",308
"/vente/villa-semi-finie-a-vendre-avec-sous-sol-a-akenza","/acheter/villa-semi-finie-a-vendre-avec-sous-sol-a-akenza",308
"/vente/villa-3-chambres-lumineuse-a-vendre-sur-route-de-fes","/acheter/villa-3-chambres-lumineuse-a-vendre-sur-route-de-fes",308
"/vente/villa-contemporaine-5-chambres-a-vendre-au-golf-damelkis-marrakech-vue-golf","/acheter/villa-contemporaine-5-chambres-a-vendre-au-golf-damelkis-marrakech-vue-golf",308
"/vente/maison-dhotes-de-prestige-a-vendre-a-targa","/acheter/maison-dhotes-de-prestige-a-vendre-a-targa",308
"/vente/terrain-1-hectare-a-vendre-route-de-fes-marrakech","/acheter/terrain-1-hectare-a-vendre-route-de-fes-marrakech",308
"/vente/villa-neuve-de-prestige-a-vendre-a-lagdal-marrakech","/acheter/villa-neuve-de-prestige-a-vendre-a-lagdal-marrakech",308
"/vente/magnifique-appartement-2-chambres-a-vendre-prestigia-agate","/acheter/magnifique-appartement-2-chambres-a-vendre-prestigia-agate",308
"/vente/magnifique-appartement-meuble-2-chambres-a-vendre-a-prestigia-jade","/acheter/magnifique-appartement-meuble-2-chambres-a-vendre-a-prestigia-jade",308
"/vente/magnifique-studio-meuble-a-vendre-a-gueliz","/acheter/magnifique-studio-meuble-a-vendre-a-gueliz",308
"/vente/appartement-2-chambres-a-vendre-sur-m-avenue","/acheter/appartement-2-chambres-a-vendre-sur-m-avenue",308
"/vente/terrain-a-vendre-route-de-casablanca-marrakech","/acheter/terrain-a-vendre-route-de-casablanca-marrakech",308
"/vente/magnifique-studio-meuble-a-vendre-a-gueliz-marrakech-centre-ville","/acheter/magnifique-studio-meuble-a-vendre-a-gueliz-marrakech-centre-ville",308
"/vente/villa-semi-meublee-a-vendre-route-ouarzazate","/acheter/villa-semi-meublee-a-vendre-route-ouarzazate",308
"/vente/appartement-3-chambres-a-vendre-marrakech-village-boulevard-mohammed-vi","/acheter/appartement-3-chambres-a-vendre-marrakech-village-boulevard-mohammed-vi",308
"/vente/appart-hotel-15-appartements-avec-restaurant-spa-et-rooftop-a-vendre-a-gueliz","/acheter/appart-hotel-15-appartements-avec-restaurant-spa-et-rooftop-a-vendre-a-gueliz",308
"/vente/villa-3-facades-avec-sous-sol-et-rooftop-a-vendre-avenue-mohammed-vi","/acheter/villa-3-facades-avec-sous-sol-et-rooftop-a-vendre-avenue-mohammed-vi",308
"/vente/terrain-dexception-d1-hectare-pour-maison-dhotes-palmeraie","/acheter/terrain-dexception-d1-hectare-pour-maison-dhotes-palmeraie",308
"/vente/lot-de-terrain-r1-a-vendre-avenue-mohammed-vi","/acheter/lot-de-terrain-r1-a-vendre-avenue-mohammed-vi",308
"/vente/appartement-2-chambres-a-vendre-a-marrakech-village","/acheter/appartement-2-chambres-a-vendre-a-marrakech-village",308
